event_id,match_id,home_team,away_team,team,opponent,player,position,shirt_number,minute,second,event_type,x,y,outcome,xg
44,1,Barau,Remo Stars,Barau,Remo Stars,Emmanuel Oyelaran,GK,28,4,36,Cross,87.64,59.0,Complete,0.0
45,1,Barau,Remo Stars,Barau,Remo Stars,Obinna Oyelaran,LW,6,5,26,Cross,97.44,0.0,Complete,0.0
46,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Osazuwa,CAM,12,5,37,Pass,107.64,50.6,Complete,0.0
47,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Ogundele,LB,1,5,43,Pass,92.92,56.28,Complete,0.0
48,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Chukwu,RW,28,5,47,Interception,35.16,36.95,Complete,0.0
49,1,Barau,Remo Stars,Remo Stars,Barau,Praise Lawal,CDM,11,5,59,Successful Dribble,113.52,40.66,Complete,0.0
50,1,Barau,Remo Stars,Barau,Remo Stars,Joseph Nnamdi,ST,27,6,0,Interception,62.5,34.68,Complete,0.0
51,1,Barau,Remo Stars,Barau,Remo Stars,Divine Bello,RW,18,6,7,Turnover,37.25,22.22,Complete,0.0
52,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Osazuwa,CAM,12,6,8,Interception,88.93,57.14,Complete,0.0
53,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,6,9,Successful Dribble,26.12,0.0,Complete,0.0
54,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,6,14,Interception,84.5,51.82,Complete,0.0
55,1,Barau,Remo Stars,Remo Stars,Barau,Segun Oyelaran,CM,10,6,15,Cross,97.48,47.96,Incomplete,0.0
56,1,Barau,Remo Stars,Remo Stars,Barau,Victor Mustapha,GK,1,6,16,Cross,105.81,80.0,Complete,0.0
57,1,Barau,Remo Stars,Remo Stars,Barau,Ifeanyi Ibrahim,LB,22,6,16,Cross,85.09,21.27,Complete,0.0
58,1,Barau,Remo Stars,Barau,Remo Stars,Divine Bello,RW,18,6,26,Interception,78.52,67.28,Complete,0.0
59,1,Barau,Remo Stars,Barau,Remo Stars,Musa Balogun,RW,3,6,28,Pass,27.07,20.76,Complete,0.0
60,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Usman,LW,10,6,29,Shot,113.74,35.85,Off Target,0.417
61,1,Barau,Remo Stars,Remo Stars,Barau,Kunle Okoye,CB,26,6,34,Pass,112.31,38.66,Incomplete,0.0
62,1,Barau,Remo Stars,Remo Stars,Barau,Damilare Onuoha,CM,24,6,36,Successful Dribble,94.49,61.28,Complete,0.0
63,1,Barau,Remo Stars,Barau,Remo Stars,Joseph Nnamdi,ST,27,6,38,Tackle,62.33,72.22,Complete,0.0
64,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Osazuwa,CAM,12,6,50,Turnover,77.04,38.62,Complete,0.0
65,1,Barau,Remo Stars,Barau,Remo Stars,Musa Nnamdi,GK,26,6,59,Pass,59.19,24.27,Complete,0.0
66,1,Barau,Remo Stars,Barau,Remo Stars,Obinna Oyelaran,LW,6,7,15,Big Chance,118.1,45.37,Off Target,0.687
67,1,Barau,Remo Stars,Remo Stars,Barau,Musa Osazuwa,CAM,2,7,24,Successful Dribble,91.55,44.07,Complete,0.0
68,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Osazuwa,CAM,12,7,30,Offside,47.11,69.1,Complete,0.0
69,1,Barau,Remo Stars,Barau,Remo Stars,Musa Nnamdi,GK,26,7,31,Pass,73.39,47.86,Complete,0.0
70,1,Barau,Remo Stars,Barau,Remo Stars,Adewale Ibrahim,RB,12,7,32,Cross,110.85,26.92,Complete,0.0
71,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Chukwu,RW,28,8,6,Pass,102.98,40.64,Complete,0.0
72,1,Barau,Remo Stars,Remo Stars,Barau,Rasheed Mohammed,GK,29,8,8,Progressive Pass,46.54,41.99,Complete,0.0
73,1,Barau,Remo Stars,Barau,Remo Stars,Aliyu Okafor,CAM,4,8,15,Shot on Target,114.32,46.27,On Target,0.406
74,1,Barau,Remo Stars,Barau,Remo Stars,Joseph Nnamdi,ST,27,8,23,Turnover,37.11,54.79,Complete,0.0
75,1,Barau,Remo Stars,Remo Stars,Barau,Daniel Chukwu,CAM,8,8,41,Pass,80.59,19.19,Incomplete,0.0
76,1,Barau,Remo Stars,Barau,Remo Stars,Daniel Adisa,CAM,22,8,42,Shot,114.76,62.81,Off Target,0.24
77,1,Barau,Remo Stars,Barau,Remo Stars,Adewale Ibrahim,RB,12,8,42,Tackle,59.63,64.96,Complete,0.0
78,1,Barau,Remo Stars,Barau,Remo Stars,Obinna Oyelaran,LW,6,8,42,Foul,41.76,34.28,Complete,0.0
79,1,Barau,Remo Stars,Barau,Remo Stars,Chukwuemeka Ojo,LW,11,8,49,Pass,33.67,49.08,Complete,0.0
80,1,Barau,Remo Stars,Remo Stars,Barau,Segun Oyelaran,CM,10,8,52,Pass,14.63,72.09,Complete,0.0
81,1,Barau,Remo Stars,Barau,Remo Stars,Tunde Osazuwa,CB,23,8,55,Shot,103.44,44.15,Off Target,0.31
82,1,Barau,Remo Stars,Barau,Remo Stars,Emmanuel Oyelaran,GK,28,8,57,Pass,41.2,33.52,Incomplete,0.0
83,1,Barau,Remo Stars,Barau,Remo Stars,Emmanuel Oyelaran,GK,28,9,7,Dangerous Pass,117.88,12.04,Complete,0.0
84,1,Barau,Remo Stars,Barau,Remo Stars,Obinna Oyelaran,LW,6,9,15,Offside,108.31,31.29,Complete,0.0
85,1,Barau,Remo Stars,Barau,Remo Stars,Suleiman Okonkwo,LW,9,9,17,Turnover,29.69,20.73,Complete,0.0
86,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Chukwu,RW,28,9,20,Shot,95.52,17.38,Off Target,0.13
87,1,Barau,Remo Stars,Barau,Remo Stars,Olamide Etim,RW,16,9,25,Turnover,57.88,38.64,Complete,0.0
88,1,Barau,Remo Stars,Barau,Remo Stars,Divine Bello,RW,18,9,29,Turnover,66.92,41.17,Complete,0.0
89,1,Barau,Remo Stars,Barau,Remo Stars,Chukwuemeka Ojo,LW,11,9,38,Cross,88.19,37.41,Complete,0.0
90,1,Barau,Remo Stars,Barau,Remo Stars,Aliyu Okafor,CAM,4,9,45,Pass,92.85,23.87,Complete,0.0
91,1,Barau,Remo Stars,Barau,Remo Stars,Adewale Ibrahim,RB,12,9,50,Pass,88.63,67.18,Incomplete,0.0
92,1,Barau,Remo Stars,Barau,Remo Stars,Olamide Etim,RW,16,9,58,Cross,83.35,63.68,Complete,0.0
93,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Osazuwa,CAM,12,10,8,Interception,51.17,35.96,Complete,0.0
94,1,Barau,Remo Stars,Remo Stars,Barau,Musa Osazuwa,CAM,2,10,8,Pass,88.99,5.53,Complete,0.0
95,1,Barau,Remo Stars,Remo Stars,Barau,Damilare Onuoha,CM,24,10,16,Pass,39.97,53.71,Complete,0.0
96,1,Barau,Remo Stars,Barau,Remo Stars,Obinna Oyelaran,LW,6,10,31,Successful Dribble,81.31,65.75,Complete,0.0
97,1,Barau,Remo Stars,Remo Stars,Barau,Joseph Osazuwa,CDM,15,10,40,Pass,86.12,53.98,Incomplete,0.0
98,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Osazuwa,CAM,12,10,51,Cross,116.94,51.34,Complete,0.0
99,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Chukwu,RW,28,10,55,Dangerous Pass,78.68,30.13,Complete,0.0
100,1,Barau,Remo Stars,Barau,Remo Stars,Olamide Etim,RW,16,10,57,Successful Dribble,88.4,41.83,Complete,0.0
101,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Osazuwa,CAM,12,10,59,Pass,30.51,34.01,Complete,0.0
102,1,Barau,Remo Stars,Remo Stars,Barau,Ifeanyi Ibrahim,LB,22,11,3,Foul,28.5,60.52,Complete,0.0
103,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Ogundele,LB,1,11,5,Pass,22.6,56.14,Complete,0.0
104,1,Barau,Remo Stars,Remo Stars,Barau,Damilare Onuoha,CM,24,11,29,Pass,49.99,39.73,Complete,0.0
105,1,Barau,Remo Stars,Remo Stars,Barau,Praise Lawal,CDM,11,11,35,Turnover,21.02,64.9,Complete,0.0
106,1,Barau,Remo Stars,Remo Stars,Barau,Praise Lawal,CDM,11,11,37,Interception,33.95,13.66,Complete,0.0
107,1,Barau,Remo Stars,Barau,Remo Stars,Suleiman Okonkwo,LW,9,11,40,Turnover,78.72,46.36,Complete,0.0
108,1,Barau,Remo Stars,Remo Stars,Barau,Segun Oyelaran,CM,10,11,43,Successful Dribble,71.35,50.22,Complete,0.0
109,1,Barau,Remo Stars,Remo Stars,Barau,Victor Mustapha,GK,1,11,44,Pass,65.08,31.83,Complete,0.0
110,1,Barau,Remo Stars,Remo Stars,Barau,Segun Oyelaran,CM,10,11,56,Shot,116.47,34.37,Off Target,0.426
111,1,Barau,Remo Stars,Remo Stars,Barau,Joseph Osazuwa,CDM,15,11,58,Pass,41.58,6.96,Complete,0.0
112,1,Barau,Remo Stars,Barau,Remo Stars,Joseph Nnamdi,ST,27,12,2,Shot,91.57,39.2,On Target,0.184
113,1,Barau,Remo Stars,Barau,Remo Stars,Obinna Oyelaran,LW,6,12,20,Turnover,39.23,17.93,Complete,0.0
114,1,Barau,Remo Stars,Barau,Remo Stars,Chukwuemeka Ojo,LW,11,12,25,Shot on Target,118.57,44.4,Off Target,0.449
115,1,Barau,Remo Stars,Barau,Remo Stars,Joseph Nnamdi,ST,27,12,30,Successful Dribble,23.61,40.62,Complete,0.0
116,1,Barau,Remo Stars,Barau,Remo Stars,Peter Nnamdi,CDM,8,12,31,Foul,33.68,9.29,Complete,0.0
117,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Adeyemi,CM,9,12,35,Pass,57.58,21.54,Complete,0.0
118,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,12,38,Pass,9.37,46.82,Complete,0.0
119,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,12,40,Pass,20.75,41.21,Incomplete,0.0
120,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Adeyemi,CM,9,12,44,Turnover,60.04,60.91,Complete,0.0
121,1,Barau,Remo Stars,Barau,Remo Stars,Musa Balogun,RW,3,13,2,Interception,85.32,80.0,Complete,0.0
122,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Ogundele,LB,1,13,2,Pass,106.56,28.57,Complete,0.0
123,1,Barau,Remo Stars,Barau,Remo Stars,Peter Nnamdi,CDM,8,13,3,Pass,95.04,36.66,Complete,0.0
124,1,Barau,Remo Stars,Remo Stars,Barau,Segun Oyelaran,CM,10,13,7,Cross,93.11,55.93,Complete,0.0
125,1,Barau,Remo Stars,Barau,Remo Stars,Musa Balogun,RW,3,13,8,Pass,91.78,39.44,Incomplete,0.0
126,1,Barau,Remo Stars,Remo Stars,Barau,Rasheed Mohammed,GK,29,13,13,Pass,101.93,41.98,Incomplete,0.0
127,1,Barau,Remo Stars,Barau,Remo Stars,Obinna Oyelaran,LW,6,13,18,Pass,40.74,53.33,Complete,0.0
128,1,Barau,Remo Stars,Barau,Remo Stars,Chukwuemeka Ojo,LW,11,13,20,Interception,26.17,13.16,Complete,0.0
129,1,Barau,Remo Stars,Remo Stars,Barau,Joseph Osazuwa,CDM,15,13,37,Foul,58.7,57.03,Complete,0.0
130,1,Barau,Remo Stars,Remo Stars,Barau,Ifeanyi Ibrahim,LB,22,13,43,Progressive Pass,79.19,11.66,Complete,0.0
131,1,Barau,Remo Stars,Remo Stars,Barau,Segun Oyelaran,CM,10,13,44,Turnover,35.47,52.79,Complete,0.0
132,1,Barau,Remo Stars,Barau,Remo Stars,Emmanuel Oyelaran,GK,28,13,45,Interception,63.43,41.04,Complete,0.0
133,1,Barau,Remo Stars,Remo Stars,Barau,Rasheed Mohammed,GK,29,13,55,Progressive Pass,95.33,80.0,Complete,0.0
134,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Usman,LW,10,14,0,Pass,72.98,64.01,Complete,0.0
135,1,Barau,Remo Stars,Remo Stars,Barau,Musa Osazuwa,CAM,2,14,10,Pass,21.54,47.94,Complete,0.0
136,1,Barau,Remo Stars,Barau,Remo Stars,Adewale Ibrahim,RB,12,14,22,Turnover,26.62,38.24,Complete,0.0
137,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Adeyemi,CM,9,14,25,Pass,2.78,78.1,Complete,0.0
138,1,Barau,Remo Stars,Barau,Remo Stars,Adewale Ibrahim,RB,12,14,34,Pass,15.23,44.98,Incomplete,0.0
139,1,Barau,Remo Stars,Barau,Remo Stars,Tunde Osazuwa,CB,23,14,37,Progressive Pass,90.18,53.8,Complete,0.0
140,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Usman,LW,10,14,49,Shot,92.22,40.08,Off Target,0.191
141,1,Barau,Remo Stars,Remo Stars,Barau,Musa Osazuwa,CAM,2,15,0,Pass,66.11,80.0,Complete,0.0
142,1,Barau,Remo Stars,Remo Stars,Barau,Victor Mustapha,GK,1,15,5,Progressive Pass,101.52,52.64,Complete,0.0
143,1,Barau,Remo Stars,Barau,Remo Stars,Adewale Ibrahim,RB,12,15,19,Tackle,76.57,24.11,Complete,0.0
144,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,15,24,Dangerous Pass,89.59,53.95,Complete,0.0
145,1,Barau,Remo Stars,Remo Stars,Barau,Daniel Chukwu,CAM,8,15,24,Progressive Pass,110.86,20.89,Incomplete,0.0
146,1,Barau,Remo Stars,Barau,Remo Stars,Musa Balogun,RW,3,15,24,Pass,102.29,39.11,Complete,0.0
147,1,Barau,Remo Stars,Remo Stars,Barau,Victor Mustapha,GK,1,15,26,Interception,82.32,24.94,Complete,0.0
148,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Adeyemi,CM,9,15,31,Pass,76.68,39.29,Incomplete,0.0
149,1,Barau,Remo Stars,Remo Stars,Barau,Daniel Chukwu,CAM,8,15,32,Dangerous Pass,89.2,39.97,Complete,0.0
150,1,Barau,Remo Stars,Barau,Remo Stars,Peter Nnamdi,CDM,8,15,34,Tackle,37.15,50.59,Complete,0.0
151,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Usman,LW,10,15,43,Tackle,11.58,15.3,Complete,0.0
152,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,16,2,Pass,95.7,68.9,Complete,0.0
153,1,Barau,Remo Stars,Remo Stars,Barau,Victor Mustapha,GK,1,16,6,Interception,46.52,69.44,Complete,0.0
154,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Ogundele,LB,1,16,16,Pass,109.24,48.2,Complete,0.0
155,1,Barau,Remo Stars,Remo Stars,Barau,Kelechi Usman,CM,6,16,18,Pass,8.1,49.01,Complete,0.0
156,1,Barau,Remo Stars,Barau,Remo Stars,Emmanuel Oyelaran,GK,28,16,22,Pass,31.22,20.04,Complete,0.0
157,1,Barau,Remo Stars,Remo Stars,Barau,Rasheed Mohammed,GK,29,16,27,Interception,62.8,57.41,Complete,0.0
158,1,Barau,Remo Stars,Remo Stars,Barau,Segun Oyelaran,CM,10,16,27,Pass,49.2,69.08,Complete,0.0
159,1,Barau,Remo Stars,Remo Stars,Barau,Victor Mustapha,GK,1,16,27,Pass,23.11,44.54,Complete,0.0
160,1,Barau,Remo Stars,Barau,Remo Stars,Joseph Nnamdi,ST,27,16,27,Foul,76.6,53.06,Complete,0.0
161,1,Barau,Remo Stars,Barau,Remo Stars,Divine Bello,RW,18,16,33,Foul,75.54,67.63,Complete,0.0
162,1,Barau,Remo Stars,Barau,Remo Stars,Emmanuel Oyelaran,GK,28,16,47,Pass,18.28,37.88,Complete,0.0
163,1,Barau,Remo Stars,Barau,Remo Stars,Suleiman Okonkwo,LW,9,17,7,Pass,38.2,62.6,Complete,0.0
164,1,Barau,Remo Stars,Barau,Remo Stars,Emmanuel Oyelaran,GK,28,17,10,Pass,43.29,22.41,Complete,0.0
165,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Osazuwa,CAM,12,17,12,Offside,38.87,28.47,Complete,0.0
166,1,Barau,Remo Stars,Barau,Remo Stars,Divine Bello,RW,18,17,17,Shot on Target,108.89,30.82,Off Target,0.34
167,1,Barau,Remo Stars,Barau,Remo Stars,Emmanuel Oyelaran,GK,28,17,19,Turnover,53.56,53.97,Complete,0.0
168,1,Barau,Remo Stars,Barau,Remo Stars,Tunde Osazuwa,CB,23,17,19,Interception,50.33,40.08,Complete,0.0
169,1,Barau,Remo Stars,Barau,Remo Stars,Obinna Oyelaran,LW,6,17,20,Interception,75.85,38.03,Complete,0.0
170,1,Barau,Remo Stars,Remo Stars,Barau,Musa Osazuwa,CAM,2,17,23,Progressive Pass,67.42,55.34,Complete,0.0
171,1,Barau,Remo Stars,Remo Stars,Barau,Chukwuemeka Chukwu,RW,28,18,0,Pass,107.34,47.31,Complete,0.0
172,1,Barau,Remo Stars,Barau,Remo Stars,Suleiman Okonkwo,LW,9,18,5,Dangerous Pass,92.94,25.38,Complete,0.0
173,1,Barau,Remo Stars,Remo Stars,Barau,Joseph Osazuwa,CDM,15,18,26,Progressive Pass,75.98,31.76,Incomplete,0.0
174,1,Barau,Remo Stars,Barau,Remo Stars,Obinna Oyelaran,LW,6,18,26,Shot,93.23,32.15,On Target,0.19
175,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,18,45,Shot on Target,104.7,21.51,Off Target,0.233
176,1,Barau,Remo Stars,Barau,Remo Stars,Daniel Adisa,CAM,22,18,48,Successful Dribble,111.56,0.0,Complete,0.0
177,1,Barau,Remo Stars,Remo Stars,Barau,Musa Osazuwa,CAM,2,18,48,Interception,49.89,41.73,Complete,0.0
178,1,Barau,Remo Stars,Remo Stars,Barau,Joseph Osazuwa,CDM,15,18,55,Foul,80.25,0.0,Complete,0.0
179,1,Barau,Remo Stars,Barau,Remo Stars,Adewale Ibrahim,RB,12,18,57,Dangerous Pass,111.9,8.81,Complete,0.0
180,1,Barau,Remo Stars,Barau,Remo Stars,Adewale Ibrahim,RB,12,19,3,Pass,118.85,45.45,Complete,0.0
181,1,Barau,Remo Stars,Barau,Remo Stars,Musa Nnamdi,GK,26,19,11,Progressive Pass,10.77,18.27,Complete,0.0
182,1,Barau,Remo Stars,Remo Stars,Barau,Victor Mustapha,GK,1,19,26,Pass,59.59,45.15,Incomplete,0.0
183,1,Barau,Remo Stars,Barau,Remo Stars,Joseph Nnamdi,ST,27,19,31,Progressive Pass,19.93,59.99,Complete,0.0
184,1,Barau,Remo Stars,Barau,Remo Stars,Olamide Etim,RW,16,19,31,Shot on Target,114.46,49.27,Off Target,0.38
185,1,Barau,Remo Stars,Remo Stars,Barau,Kunle Okoye,CB,26,19,37,Turnover,21.04,48.65,Complete,0.0
186,1,Barau,Remo Stars,Barau,Remo Stars,Emmanuel Oyelaran,GK,28,19,39,Big Chance,94.18,61.73,Off Target,0.375
187,1,Barau,Remo Stars,Barau,Remo Stars,Peter Nnamdi,CDM,8,19,42,Progressive Pass,58.95,35.19,Complete,0.0
188,1,Barau,Remo Stars,Barau,Remo Stars,Adewale Ibrahim,RB,12,20,4,Tackle,69.48,0.0,Complete,0.0
189,1,Barau,Remo Stars,Remo Stars,Barau,Kunle Okoye,CB,26,20,21,Foul,44.49,48.78,Complete,0.0
190,1,Barau,Remo Stars,Remo Stars,Barau,Peter Ogundele,CB,13,20,30,Progressive Pass,115.72,66.57,Incomplete,0.0
191,1,Barau,Remo Stars,Barau,Remo Stars,Suleiman Okonkwo,LW,9,20,34,Cross,85.87,39.49,Complete,0.0
192,1,Barau,Remo Stars,Remo Stars,Barau,Kunle Okoye,CB,26,20,38,Cross,99.15,67.12,Complete,0.0
193,1,Barau,Remo Stars,Remo Stars,Barau,Musa Osazuwa,CAM,2,20,50,Cross,72.86,80.0,Complete,0.0
194,1,Barau,Remo Stars,Barau,Remo Stars,Daniel Adisa,CAM,22,20,52,Shot,100.71,34.71,On Target,0.278
195,1,Barau,Remo Stars,Barau,Remo Stars,Musa Balogun,RW,3,21,6,Interception,45.86,28.67,Complete,0.0
196,1,Barau,Remo Stars,Barau,Remo Stars,Adewale Ibrahim,RB,12,21,8,Pass,109.49,53.03,Complete,0.0
197,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Usman,LW,10,21,13,Pass,34.13,51.31,Incomplete,0.0
198,1,Barau,Remo Stars,Remo Stars,Barau,Joseph Osazuwa,CDM,15,21,39,Pass,117.26,63.65,Complete,0.0
199,1,Barau,Remo Stars,Barau,Remo Stars,Daniel Adisa,CAM,22,21,49,Turnover,49.81,44.74,Complete,0.0
200,1,Barau,Remo Stars,Barau,Remo Stars,Aliyu Okafor,CAM,4,21,53,Tackle,26.56,30.28,Complete,0.0
201,1,Barau,Remo Stars,Remo Stars,Barau,Femi Osazuwa,LW,25,21,57,Shot,119.1,57.16,Off Target,0.309
202,1,Barau,Remo Stars,Barau,Remo Stars,Daniel Adisa,CAM,22,21,58,Progressive Pass,55.42,46.04,Complete,0.0
203,1,Barau,Remo Stars,Barau,Remo Stars,Joseph Nnamdi,ST,27,22,10,Progressive Pass,52.17,58.42,Complete,0.0
204,1,Barau,Remo Stars,Barau,Remo Stars,Daniel Adisa,CAM,22,22,11,Pass,97.08,77.19,Complete,0.0
205,1,Barau,Remo Stars,Barau,Remo Stars,Ifeanyi Ogundele,LB,1,22,16,Turnover,33.31,51.27,Complete,0.0
206,1,Barau,Remo Stars,Barau,Remo Stars,Suleiman Okonkwo,LW,9,22,22,Pass,66.03,18.57,Complete,0.0
